Anime_ID,Title,Genres,Type,Episodes,Producers,Studios,Score
4782,Mama wa Poyopoyo Saurus ga Osuki,"Comedy, Kids, Slice of Life",TV,52,Unknown,Nippon Animation,6.57
4786,Kodomo no Jikan Recap,"Comedy, Ecchi, School",OVA,1,Unknown,Diomedéa,6.92
4789,ef: A Tale of Melodies.,"Mystery, Supernatural, Drama, Romance",TV,12,Unknown,Shaft,8.04
4790,Zeno: Kagirinaki Ai ni,"Historical, Drama",Movie,1,Unknown,Unknown,6.52
4792,Pokemon: Pikachu Tankentai,"Adventure, Comedy, Fantasy, Kids",Movie,1,Unknown,OLM,6.54
4793,Pokemon: Pichu to Pikachu,"Adventure, Comedy, Fantasy, Kids",Movie,1,Unknown,OLM,6.69
4794,Pokemon: Pikachu no Dokidoki Kakurenbo,"Adventure, Comedy, Fantasy, Kids",Movie,1,Unknown,OLM,6.5
4795,Pokemon: Pika Pika Hoshizora Camp,"Adventure, Comedy, Fantasy, Kids",Movie,1,Unknown,OLM,6.51
4798,Druaga no Tou: The Aegis of Uruk - Jil no Bouken,"Adventure, Fantasy",Special,1,Unknown,Gonzo,7.14
4799,Mune Kyun! Heartful Cafe,Hentai,OVA,2,Milky Animation Label,Unknown,5.77
4800,Huckleberry Finn Monogatari,Adventure,TV,26,Enoki Films,Aubec,6.51
4801,Suhoyojeong Michel,"Adventure, Fantasy, Kids",TV,26,DR Movie,Unknown,6.39
4802,Kawarazaki-ke no Ichizoku The Animation,Hentai,OVA,2,Pink Pineapple,Unknown,5.51
4803,Kawarazaki-ke no Ichizoku 2,Hentai,OVA,4,Pink Pineapple,Arms,5.62
4804,To Heart 2 AD Plus,Romance,OVA,2,Frontier Works,Unknown,6.75
4807,Mashin Eiyuuden Wataru 2,"Adventure, Comedy, Mecha",TV,46,Unknown,Sunrise,6.78
4808,Hurricane Polymar,"Action, Sci-Fi, Adventure, Police, Super Power",TV,26,Unknown,Tatsunoko Production,6.54
4810,Shinzou Ningen Casshern,"Action, Sci-Fi, Adventure",TV,35,Unknown,Tatsunoko Production,6.7
4811,Ichigo Mashimaro Encore,"Comedy, Slice of Life",OVA,2,Unknown,Daume,7.7
4813,Lolita Anime,Hentai,OVA,6,Wonder Kids,Unknown,5.2
4814,Junjou Romantica 2,"Comedy, Drama, Romance, Shounen Ai",TV,12,"Frontier Works, Kadokawa Shoten, Memory-Tech, Romantica club !!",Studio Deen,7.85
4816,Gakuen 2,"Hentai, School",OVA,2,Himajin Planning,Suzuki Mirano,6.35
4817,Genzai Byoto,Hentai,OVA,2,Unknown,Unknown,5.07
4818,Houkago Renai Club: Koi no Étude,Hentai,OVA,2,Pink Pineapple,Unknown,5.22
